dataset,tier,task,condition,experimental_unit,dataset_level_n,seed_repetitions,isolated_component,comparison_scope,fitness,delta_from_full_fitness,delta_from_static_fitness,observed_metric,delta_from_full_metric
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,70.0,0.0,-17.7,0.9474,0.0
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,NO_VETO,dataset,8,5,defect_policy,component_isolation,88.4,18.4,0.7,0.9474,0.0
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,70.0,0.0,-17.7,0.9474,0.0
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,70.0,0.0,-17.7,0.9474,0.0
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,87.7,17.7,0.0,0.9474,0.0
California Housing,Tier C (Held-Out Generalization),supervised_regression,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,70.0,0.0,-24.75,0.4366,0.0
California Housing,Tier C (Held-Out Generalization),supervised_regression,NO_VETO,dataset,8,5,defect_policy,component_isolation,94.7,24.7,-0.05,0.4366,0.0
California Housing,Tier C (Held-Out Generalization),supervised_regression,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,70.0,0.0,-24.75,0.4366,0.0
California Housing,Tier C (Held-Out Generalization),supervised_regression,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,70.0,0.0,-24.75,0.4366,0.0
California Housing,Tier C (Held-Out Generalization),supervised_regression,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,94.75,24.75,0.0,0.4366,0.0
