run_id,dataset,dataset_id,tier,task,seed,condition,target,time_column,raw_fitness,final_fitness,predicted_metric,observed_metric,metric_residual,metric_name,metric_direction,calibration_status,remediation_status,validation_status,uncertainty,defect_policy_tier,WAHP,Wcalibrated,audit_receipt_hash
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,42,STATIC_BASELINE,quality,,94.17,94.17,2.87,0.5981,-2.2719,RMSE,lower_is_better,N/A (Static Baseline),None (Static Baseline),Successfully Evaluated,N/A,NONE,"{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}","{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}",2f16ae47d802df3135686f1e76151a56877456c8157d804cf6cacacb207cfb8c
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,42,FULL_DATATRUST,quality,,94.5,70.0,0.52,0.5981,0.11,RMSE,lower_is_better,Calibration Rejected,Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372, 'label_integrity': 0.0929, 'outlier_resilience': 0.2898, 'missingness': 0.1672, 'drift_stability': 0.0372, 'temporal_validity': 0.0372, 'bias_imbalance': 0.0929, 'correlation_integrity': 0.1486, 'cardinality_schema': 0.1486, 'leakage': 0.1486}",fbccb6598cc406ceccb550b76235ef8dbd7da1715e95efe0c745825ab6405d4d
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,42,NO_VETO,quality,,94.5,94.5,2.82,0.5981,-2.2219,RMSE,lower_is_better,N/A (Veto Disabled),Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",BYPASSED,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",e67c4f0a3ce6610a16476c412bbceb876731e6b929c064038cf252c6a2a6ca9a
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,42,NO_CALIBRATION,quality,,94.5,70.0,6.5,0.5981,-5.9019,RMSE,lower_is_better,Disabled (Prior W_AHP Preserved),Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",b62658167da18c5fc06db8b6c2ec51bf56b5604898d2e35aa455b8ecd26789e7
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,42,NO_REMEDIATION,quality,,94.5,70.0,0.52,0.5981,0.11,RMSE,lower_is_better,Calibration Rejected,Remediation Disabled (Raw Benchmark State),Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372, 'label_integrity': 0.0929, 'outlier_resilience': 0.2898, 'missingness': 0.1672, 'drift_stability': 0.0372, 'temporal_validity': 0.0372, 'bias_imbalance': 0.0929, 'correlation_integrity': 0.1486, 'cardinality_schema': 0.1486, 'leakage': 0.1486}",c4feef400a89feb6d0d324e117380dafff366520b79b98829d562d2fc5fec76b
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,43,STATIC_BASELINE,quality,,94.17,94.17,2.87,0.5739,-2.2961,RMSE,lower_is_better,N/A (Static Baseline),None (Static Baseline),Successfully Evaluated,N/A,NONE,"{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}","{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}",07e5ca75c67728152094628e9040759624d0476f179dccb218fd3ba3620d5b5a
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,43,FULL_DATATRUST,quality,,94.5,70.0,0.52,0.5739,0.11,RMSE,lower_is_better,Calibration Rejected,Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372, 'label_integrity': 0.0929, 'outlier_resilience': 0.2898, 'missingness': 0.1672, 'drift_stability': 0.0372, 'temporal_validity': 0.0372, 'bias_imbalance': 0.0929, 'correlation_integrity': 0.1486, 'cardinality_schema': 0.1486, 'leakage': 0.1486}",fbccb6598cc406ceccb550b76235ef8dbd7da1715e95efe0c745825ab6405d4d
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,43,NO_VETO,quality,,94.5,94.5,2.82,0.5739,-2.2461,RMSE,lower_is_better,N/A (Veto Disabled),Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",BYPASSED,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",009b5d3db3f95230a667aa6fe4aae2033665fbb557a67884cf05c9277a4c34c0
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,43,NO_CALIBRATION,quality,,94.5,70.0,6.5,0.5739,-5.9261,RMSE,lower_is_better,Disabled (Prior W_AHP Preserved),Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",dcbd920847882a9ce7d5b6aa676150ee610dcc4a22cd18a8fa4f6bb98195f743
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,43,NO_REMEDIATION,quality,,94.5,70.0,0.52,0.5739,0.11,RMSE,lower_is_better,Calibration Rejected,Remediation Disabled (Raw Benchmark State),Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372, 'label_integrity': 0.0929, 'outlier_resilience': 0.2898, 'missingness': 0.1672, 'drift_stability': 0.0372, 'temporal_validity': 0.0372, 'bias_imbalance': 0.0929, 'correlation_integrity': 0.1486, 'cardinality_schema': 0.1486, 'leakage': 0.1486}",e3e04e21205f5b5b2ef68d3fbacfa273912a009f6e5f03f4d1ecb0af89bbf6b2
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,44,STATIC_BASELINE,quality,,94.17,94.17,2.87,0.6076,-2.2624,RMSE,lower_is_better,N/A (Static Baseline),None (Static Baseline),Successfully Evaluated,N/A,NONE,"{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}","{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}",5989fdfbf39abb4bbe27cb6cfb0cc8d8b54fe69689655a8380d83a1b91cd561e
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,44,FULL_DATATRUST,quality,,94.5,70.0,0.52,0.6076,0.11,RMSE,lower_is_better,Calibration Rejected,Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372, 'label_integrity': 0.0929, 'outlier_resilience': 0.2898, 'missingness': 0.1672, 'drift_stability': 0.0372, 'temporal_validity': 0.0372, 'bias_imbalance': 0.0929, 'correlation_integrity': 0.1486, 'cardinality_schema': 0.1486, 'leakage': 0.1486}",fbccb6598cc406ceccb550b76235ef8dbd7da1715e95efe0c745825ab6405d4d
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,44,NO_VETO,quality,,94.5,94.5,2.82,0.6076,-2.2124,RMSE,lower_is_better,N/A (Veto Disabled),Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",BYPASSED,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",c02800eac44866f27e1a033dfb5f312479d9d5cd27e4fad3c50db7bca320660f
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,44,NO_CALIBRATION,quality,,94.5,70.0,6.5,0.6076,-5.8924,RMSE,lower_is_better,Disabled (Prior W_AHP Preserved),Policy Veto Enforced,Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",de35dd792fab4aff36906de7a66d69d0c80e611829c395837f7eebbd43b3e1af
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,44,NO_REMEDIATION,quality,,94.5,70.0,0.52,0.6076,0.11,RMSE,lower_is_better,Calibration Rejected,Remediation Disabled (Raw Benchmark State),Successfully Evaluated,"[69.5, 70.5] (SE=0.23)",YELLOW,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372, 'label_integrity': 0.0929, 'outlier_resilience': 0.2898, 'missingness': 0.1672, 'drift_stability': 0.0372, 'temporal_validity': 0.0372, 'bias_imbalance': 0.0929, 'correlation_integrity': 0.1486, 'cardinality_schema': 0.1486, 'leakage': 0.1486}",bb1f30a1adea2747bb11a8f88e280c39289d39116bde3c0832bd7b08a963e793
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,45,STATIC_BASELINE,quality,,94.17,94.17,2.87,0.61,-2.26,RMSE,lower_is_better,N/A (Static Baseline),None (Static Baseline),Successfully Evaluated,N/A,NONE,"{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}","{'completeness': 0.125, 'validity': 0.125, 'consistency': 0.125, 'uniqueness': 0.125, 'timeliness': 0.125, 'outlier_anomaly': 0.125, 'distribution_balance': 0.125, 'coverage_representativeness': 0.125}",f487b62ec03d4600d72920834b2ac7984ee05ef2a7d0804f08d7c0e45e939e87
