dataset,tier,task,condition,experimental_unit,dataset_level_n,seed_repetitions,isolated_component,comparison_scope,fitness_mean,fitness_std,fitness_min,fitness_max,metric_name,metric_direction,observed_metric_mean,observed_metric_std,observed_metric_min,observed_metric_max
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,70.0,0.0,70.0,70.0,Macro F1,higher_is_better,0.9474,0.0123,0.9274,0.9579
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,70.0,0.0,70.0,70.0,Macro F1,higher_is_better,0.9474,0.0123,0.9274,0.9579
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,70.0,0.0,70.0,70.0,Macro F1,higher_is_better,0.9474,0.0123,0.9274,0.9579
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,NO_VETO,dataset,8,5,defect_policy,component_isolation,88.4,0.0,88.4,88.4,Macro F1,higher_is_better,0.9474,0.0123,0.9274,0.9579
Breast Cancer Diagnostic,Tier C (Held-Out Generalization),supervised_classification,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,87.7,0.0,87.7,87.7,Macro F1,higher_is_better,0.9474,0.0123,0.9274,0.9579
California Housing,Tier C (Held-Out Generalization),supervised_regression,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,70.0,0.0,70.0,70.0,RMSE,lower_is_better,0.4366,0.0143,0.4199,0.4561
California Housing,Tier C (Held-Out Generalization),supervised_regression,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,70.0,0.0,70.0,70.0,RMSE,lower_is_better,0.4366,0.0143,0.4199,0.4561
California Housing,Tier C (Held-Out Generalization),supervised_regression,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,70.0,0.0,70.0,70.0,RMSE,lower_is_better,0.4366,0.0143,0.4199,0.4561
California Housing,Tier C (Held-Out Generalization),supervised_regression,NO_VETO,dataset,8,5,defect_policy,component_isolation,94.7,0.0,94.7,94.7,RMSE,lower_is_better,0.4366,0.0143,0.4199,0.4561
California Housing,Tier C (Held-Out Generalization),supervised_regression,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,94.75,0.0,94.75,94.75,RMSE,lower_is_better,0.4366,0.0143,0.4199,0.4561
Diabetes Progression,Tier C (Held-Out Generalization),supervised_regression,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,90.0,0.0,90.0,90.0,RMSE,lower_is_better,57.9182,4.2629,51.0577,62.3833
Diabetes Progression,Tier C (Held-Out Generalization),supervised_regression,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,96.37,0.0,96.37,96.37,RMSE,lower_is_better,57.9182,4.2629,51.0577,62.3833
Diabetes Progression,Tier C (Held-Out Generalization),supervised_regression,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,90.0,0.0,90.0,90.0,RMSE,lower_is_better,57.9182,4.2629,51.0577,62.3833
Diabetes Progression,Tier C (Held-Out Generalization),supervised_regression,NO_VETO,dataset,8,5,defect_policy,component_isolation,96.4,0.0,96.4,96.4,RMSE,lower_is_better,57.9182,4.2629,51.0577,62.3833
Diabetes Progression,Tier C (Held-Out Generalization),supervised_regression,STATIC_BASELINE,dataset,8,5,none (omnibus baseline),omnibus_contrast,97.84,0.0,97.84,97.84,RMSE,lower_is_better,57.9182,4.2629,51.0577,62.3833
Iris Species Morphometrics,Tier B (Diagnostic Benchmark),supervised_classification,FULL_DATATRUST,dataset,8,5,full_pipeline,reference_system,70.0,0.0,70.0,70.0,Macro F1,higher_is_better,0.9667,0.0207,0.9327,0.981
Iris Species Morphometrics,Tier B (Diagnostic Benchmark),supervised_classification,NO_CALIBRATION,dataset,8,5,empirical_calibration,component_isolation,70.0,0.0,70.0,70.0,Macro F1,higher_is_better,0.9667,0.0207,0.9327,0.981
Iris Species Morphometrics,Tier B (Diagnostic Benchmark),supervised_classification,NO_REMEDIATION,dataset,8,5,dataset_remediation,data_state_contrast,70.0,0.0,70.0,70.0,Macro F1,higher_is_better,0.9667,0.0207,0.9327,0.981
Iris Species Morphometrics,Tier B (Diagnostic Benchmark),supervised_classification,NO_VETO,dataset,8,5,defect_policy,component_isolation,95.6,0.0,95.6,95.6,Macro F1,higher_is_better,0.9667,0.0207,0.9327,0.981
