run_id,dataset,dataset_id,tier,task,seed,train_n,calibration_n,outer_test_n,metric_name,metric_direction,calibration_metric,outer_test_metric,fitness_before_calibration,fitness_after_calibration,predicted_metric_before,predicted_metric_after,residual_calibration,outer_residual_before,outer_residual_after,outer_abs_err_before,outer_abs_err_after,delta_outer_abs_err,calibration_status,defect_policy,policy_masked,validation_status,WAHP,Wcalibrated,audit_receipt_hash
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,42,959,320,320,RMSE,lower_is_better,0.61,0.5748,70.0,70.0,0.53,0.53,0.08,0.0448,0.0448,0.0448,0.0448,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",0a6c5ff4e3f2d85f43afdc9510eccf791f11cd6d9cdc9271ecf2868d6c8f8a1b
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,43,959,320,320,RMSE,lower_is_better,0.601,0.6026,70.0,70.0,0.53,0.53,0.071,0.0726,0.0726,0.0726,0.0726,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",5394e8f9129f33ed0ad20a63e23fcb84afd3d867d2a73a7429f041b11ac360a1
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,44,959,320,320,RMSE,lower_is_better,0.6225,0.6105,70.0,70.0,0.52,0.52,0.1025,0.0905,0.0905,0.0905,0.0905,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",f52e2ce5fd5be37160d6cd8eab19fab29f096ce8a15b6ea1dc3f6e6a42d2f76b
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,45,959,320,320,RMSE,lower_is_better,0.5814,0.6141,70.0,70.0,0.52,0.52,0.0614,0.0941,0.0941,0.0941,0.0941,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",579d3e80723ed51499b939cd589278fccc576eb26e340ec75305bf7f174c159c
1,UCI Red Wine Quality,B1_wine_quality,Tier B (Calibration Benchmark),supervised_regression,46,959,320,320,RMSE,lower_is_better,0.5618,0.5962,70.0,70.0,0.53,0.53,0.0318,0.0662,0.0662,0.0662,0.0662,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}","{'outlier_anomaly': 0.2898, 'completeness': 0.1672, 'validity': 0.1486, 'consistency': 0.1301, 'distribution_balance': 0.0929, 'coverage_representativeness': 0.0743, 'uniqueness': 0.0599, 'timeliness': 0.0372}",692292e3682f79a7769ab5770322e845f84d1f1c732c639eb6e12509c957c9b7
1,UCI Air Quality Sensors,B2_air_quality,Tier B (Calibration Benchmark),time_series_forecasting,42,900,300,300,RMSE,lower_is_better,50.9061,54.1429,70.0,70.0,40.03,40.03,10.8761,14.1129,14.1129,14.1129,14.1129,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}","{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}",2b1c69c6bf3fd8089f32d1ab2edaa5562792332de8f62d4966dfd0dc0c6d2e29
1,UCI Air Quality Sensors,B2_air_quality,Tier B (Calibration Benchmark),time_series_forecasting,43,900,300,300,RMSE,lower_is_better,50.9061,54.1429,70.0,70.0,40.03,40.03,10.8761,14.1129,14.1129,14.1129,14.1129,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}","{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}",41e839ba2a4ff26c9bf84dc959d50759fadbe4fd5972b5324541cc9d5eba0c63
1,UCI Air Quality Sensors,B2_air_quality,Tier B (Calibration Benchmark),time_series_forecasting,44,900,300,300,RMSE,lower_is_better,50.9061,54.1429,70.0,70.0,40.03,40.03,10.8761,14.1129,14.1129,14.1129,14.1129,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}","{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}",f966ecbb70eb5dfce6afc91152f0ff4d55cbc272eeae1f926dea7879cb1e67fa
1,UCI Air Quality Sensors,B2_air_quality,Tier B (Calibration Benchmark),time_series_forecasting,45,900,300,300,RMSE,lower_is_better,50.9061,54.1429,70.0,70.0,40.03,40.03,10.8761,14.1129,14.1129,14.1129,14.1129,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}","{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}",a02e8e4e3bc87d97ec21c3857ff191baf4ef92e65c3064fd1d630c6f770fe109
1,UCI Air Quality Sensors,B2_air_quality,Tier B (Calibration Benchmark),time_series_forecasting,46,900,300,300,RMSE,lower_is_better,50.9061,54.1429,70.0,70.0,40.03,40.03,10.8761,14.1129,14.1129,14.1129,14.1129,0.0,Calibration Rejected,YELLOW,True,Successfully Evaluated,"{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}","{'timeliness': 0.2879, 'completeness': 0.1727, 'outlier_anomaly': 0.1747, 'consistency': 0.1152, 'validity': 0.096, 'distribution_balance': 0.0576, 'coverage_representativeness': 0.0576, 'uniqueness': 0.0384}",c4f0044b3f9c156e6bafea36c81a9c3894f32212f514e193bc40cfab2487ef08
